"目录","文件数","视频数","CSV数","JSON数","字节数"
"01_VBench评测\VBench-v1","467","0","0","14","40413323"
"01_VBench评测\环境压缩包","2","0","1","0","192316201"
"01_VBench评测\版本与命令","2","0","0","1","233268"
"02_Consis生成\prompts","4","0","3","1","606676"
"02_Consis生成\manifests","15","0","14","1","2026890"
"02_Consis生成\脚本配置","8","0","0","1","38161"
"02_Consis生成\生成日志","9","0","0","1","14755330"
"03_视频目录\shard01_原始视频_472","472","472","0","0","208095590"
"03_视频目录\shard02_原始视频_472","472","472","0","0","214038496"
"03_视频目录\std官方名","943","943","0","0","421461132"
"03_视频目录\std安全名_944","944","944","0","0","422134086"
"03_视频目录\smoke_测试视频","3","3","0","0","794570"
"04_评测结果\中文报告","5","0","2","0","16515"
"04_评测结果\维度日志_16","16","0","0","0","657261"
"04_评测结果\原始JSON","8","0","0","8","298278"
"04_评测结果\运行日志","10","0","0","0","14803198"
"04_评测结果\环境错误日志","6","0","0","0","62887"
"04_评测结果\图表和映射","3","0","1","0","10403"
